"Notes"	"State"	"StateCode"	"Year"	"YearCode"	"Age"	"AgeCode"	Births	FPop	Rate
	"Alabama"	"01"	"2009"	"2009"	"40-44 years"	"40-44"	892	159544	5.59
	"Alabama"	"01"	"2009"	"2009"	"45-49 years"	"45-49"	41	Not Available	Not Available
	"Alabama"	"01"	"2010"	"2010"	"Under 15 years"	"15"	110	Not Available	Not Available
	"Alabama"	"01"	"2010"	"2010"	"15-19 years"	"15-19"	7343	168320	43.63
	"Alabama"	"01"	"2010"	"2010"	"20-24 years"	"20-24"	17745	167802	105.75
	"Alabama"	"01"	"2010"	"2010"	"25-29 years"	"25-29"	17683	157318	112.40
	"Alabama"	"01"	"2010"	"2010"	"30-34 years"	"30-34"	11578	151464	76.44
	"Alabama"	"01"	"2010"	"2010"	"35-39 years"	"35-39"	4590	157352	29.17
	"Alabama"	"01"	"2010"	"2010"	"40-44 years"	"40-44"	956	158364	6.04
	"Alabama"	"01"	"2010"	"2010"	"45-49 years"	"45-49"	41	Not Available	Not Available
	"Alabama"	"01"	"2011"	"2011"	"Under 15 years"	"15"	95	Not Available	Not Available
	"Alabama"	"01"	"2011"	"2011"	"15-19 years"	"15-19"	6609	163082	40.53
	"Alabama"	"01"	"2011"	"2011"	"20-24 years"	"20-24"	17591	174254	100.95
	"Alabama"	"01"	"2011"	"2011"	"25-29 years"	"25-29"	17498	157023	111.44
	"Alabama"	"01"	"2011"	"2011"	"30-34 years"	"30-34"	11949	154895	77.14
	"Alabama"	"01"	"2011"	"2011"	"35-39 years"	"35-39"	4600	151554	30.35
	"Alabama"	"01"	"2011"	"2011"	"40-44 years"	"40-44"	959	159376	6.02
	"Alabama"	"01"	"2011"	"2011"	"45-49 years"	"45-49"	48	Not Available	Not Available
	"Alabama"	"01"	"2012"	"2012"	"Under 15 years"	"15"	88	Not Available	Not Available
	"Alabama"	"01"	"2012"	"2012"	"15-19 years"	"15-19"	6195	158223	39.15
	"Alabama"	"01"	"2012"	"2012"	"20-24 years"	"20-24"	17100	176721	96.76
	"Alabama"	"01"	"2012"	"2012"	"25-29 years"	"25-29"	17347	157071	110.44
	"Alabama"	"01"	"2012"	"2012"	"30-34 years"	"30-34"	12211	156557	78.00
	"Alabama"	"01"	"2012"	"2012"	"35-39 years"	"35-39"	4574	149864	30.52
	"Alabama"	"01"	"2012"	"2012"	"40-44 years"	"40-44"	885	160567	5.51
	"Alabama"	"01"	"2012"	"2012"	"45-49 years"	"45-49"	46	Not Available	Not Available
	"Alabama"	"01"	"2013"	"2013"	"Under 15 years"	"15"	64	Not Available	Not Available
	"Alabama"	"01"	"2013"	"2013"	"15-19 years"	"15-19"	5392	157099	34.32
	"Alabama"	"01"	"2013"	"2013"	"20-24 years"	"20-24"	17322	176886	97.93
	"Alabama"	"01"	"2013"	"2013"	"25-29 years"	"25-29"	17480	157896	110.71
	"Alabama"	"01"	"2013"	"2013"	"30-34 years"	"30-34"	12325	157079	78.46
	"Alabama"	"01"	"2013"	"2013"	"35-39 years"	"35-39"	4631	149455	30.99
	"Alabama"	"01"	"2013"	"2013"	"40-44 years"	"40-44"	897	161341	5.56
	"Alabama"	"01"	"2013"	"2013"	"45-49 years"	"45-49"	52	Not Available	Not Available
	"Alabama"	"01"	"2014"	"2014"	"Under 15 years"	"15"	64	Not Available	Not Available
	"Alabama"	"01"	"2014"	"2014"	"15-19 years"	"15-19"	5009	156422	32.02
	"Alabama"	"01"	"2014"	"2014"	"20-24 years"	"20-24"	17092	175941	97.15
	"Alabama"	"01"	"2014"	"2014"	"25-29 years"	"25-29"	18141	160346	113.14
	"Alabama"	"01"	"2014"	"2014"	"30-34 years"	"30-34"	13176	157775	83.51
	"Alabama"	"01"	"2014"	"2014"	"35-39 years"	"35-39"	4980	150784	33.03
	"Alabama"	"01"	"2014"	"2014"	"40-44 years"	"40-44"	916	159841	5.73
	"Alabama"	"01"	"2014"	"2014"	"45-49 years"	"45-49"	41	Not Available	Not Available
	"Alabama"	"01"	"2015"	"2015"	"Under 15 years"	"15"	52	Not Available	Not Available
	"Alabama"	"01"	"2015"	"2015"	"15-19 years"	"15-19"	4739	157347	30.12
	"Alabama"	"01"	"2015"	"2015"	"20-24 years"	"20-24"	16794	170945	98.24
	"Alabama"	"01"	"2015"	"2015"	"25-29 years"	"25-29"	18531	164717	112.50
	"Alabama"	"01"	"2015"	"2015"	"30-34 years"	"30-34"	13287	156739	84.77
	"Alabama"	"01"	"2015"	"2015"	"35-39 years"	"35-39"	5272	152578	34.55
	"Alabama"	"01"	"2015"	"2015"	"40-44 years"	"40-44"	928	156655	5.92
	"Alabama"	"01"	"2015"	"2015"	"45-49 years"	"45-49"	51	Not Available	Not Available
	"Alaska"	"02"	"2007"	"2007"	"15-19 years"	"15-19"	1117	26055	42.87
	"Alaska"	"02"	"2007"	"2007"	"20-24 years"	"20-24"	3316	24336	136.26
	"Alaska"	"02"	"2007"	"2007"	"25-29 years"	"25-29"	3184	23398	136.08
	"Alaska"	"02"	"2007"	"2007"	"30-34 years"	"30-34"	2089	20973	99.60
	"Alaska"	"02"	"2007"	"2007"	"35-39 years"	"35-39"	1054	22611	46.61
	"Alaska"	"02"	"2007"	"2007"	"40-44 years"	"40-44"	262	24314	10.78
	"Alaska"	"02"	"2007"	"2007"	"45-49 years"	"45-49"	23	Not Available	Not Available
	"Alaska"	"02"	"2008"	"2008"	"15-19 years"	"15-19"	1135	25685	44.19
	"Alaska"	"02"	"2008"	"2008"	"20-24 years"	"20-24"	3350	23984	139.68
	"Alaska"	"02"	"2008"	"2008"	"25-29 years"	"25-29"	3388	24323	139.29
	"Alaska"	"02"	"2008"	"2008"	"30-34 years"	"30-34"	2189	21240	103.06
	"Alaska"	"02"	"2008"	"2008"	"35-39 years"	"35-39"	1084	22330	48.54
	"Alaska"	"02"	"2008"	"2008"	"40-44 years"	"40-44"	273	23185	11.77
	"Alaska"	"02"	"2008"	"2008"	"45-49 years"	"45-49"	16	Not Available	Not Available
	"Alaska"	"02"	"2009"	"2009"	"15-19 years"	"15-19"	1106	25602	43.20
	"Alaska"	"02"	"2009"	"2009"	"20-24 years"	"20-24"	3146	24362	129.14
	"Alaska"	"02"	"2009"	"2009"	"25-29 years"	"25-29"	3410	25283	134.87
	"Alaska"	"02"	"2009"	"2009"	"30-34 years"	"30-34"	2268	22085	102.69
	"Alaska"	"02"	"2009"	"2009"	"35-39 years"	"35-39"	1123	22268	50.43
	"Alaska"	"02"	"2009"	"2009"	"40-44 years"	"40-44"	242	22908	10.56
	"Alaska"	"02"	"2009"	"2009"	"45-49 years"	"45-49"	19	Not Available	Not Available
	"Alaska"	"02"	"2010"	"2010"	"15-19 years"	"15-19"	956	24962	38.30
	"Alaska"	"02"	"2010"	"2010"	"20-24 years"	"20-24"	3309	24713	133.90
	"Alaska"	"02"	"2010"	"2010"	"25-29 years"	"25-29"	3447	26112	132.01
	"Alaska"	"02"	"2010"	"2010"	"30-34 years"	"30-34"	2454	22845	107.42
	"Alaska"	"02"	"2010"	"2010"	"35-39 years"	"35-39"	1013	22102	45.83
	"Alaska"	"02"	"2010"	"2010"	"40-44 years"	"40-44"	269	22495	11.96
	"Alaska"	"02"	"2010"	"2010"	"45-49 years"	"45-49"	16	Not Available	Not Available
	"Alaska"	"02"	"2011"	"2011"	"15-19 years"	"15-19"	880	24340	36.15
	"Alaska"	"02"	"2011"	"2011"	"20-24 years"	"20-24"	3252	25852	125.79
	"Alaska"	"02"	"2011"	"2011"	"25-29 years"	"25-29"	3462	27263	126.99
	"Alaska"	"02"	"2011"	"2011"	"30-34 years"	"30-34"	2460	24059	102.25
	"Alaska"	"02"	"2011"	"2011"	"35-39 years"	"35-39"	1121	21614	51.86
	"Alaska"	"02"	"2011"	"2011"	"40-44 years"	"40-44"	261	22745	11.48
	"Alaska"	"02"	"2011"	"2011"	"45-49 years"	"45-49"	14	Not Available	Not Available
	"Alaska"	"02"	"2012"	"2012"	"15-19 years"	"15-19"	817	23681	34.50
	"Alaska"	"02"	"2012"	"2012"	"20-24 years"	"20-24"	2977	26829	110.96
	"Alaska"	"02"	"2012"	"2012"	"25-29 years"	"25-29"	3380	27688	122.07
	"Alaska"	"02"	"2012"	"2012"	"30-34 years"	"30-34"	2572	24788	103.76
	"Alaska"	"02"	"2012"	"2012"	"35-39 years"	"35-39"	1113	21758	51.15
	"Alaska"	"02"	"2012"	"2012"	"40-44 years"	"40-44"	295	22566	13.07
	"Alaska"	"02"	"2012"	"2012"	"45-49 years"	"45-49"	20	Not Available	Not Available
	"Alaska"	"02"	"2013"	"2013"	"15-19 years"	"15-19"	708	23386	30.27
	"Alaska"	"02"	"2013"	"2013"	"20-24 years"	"20-24"	2997	26977	111.09
	"Alaska"	"02"	"2013"	"2013"	"25-29 years"	"25-29"	3547	27793	127.62
	"Alaska"	"02"	"2013"	"2013"	"30-34 years"	"30-34"	2712	25496	106.37
	"Alaska"	"02"	"2013"	"2013"	"35-39 years"	"35-39"	1172	21553	54.38
	"Alaska"	"02"	"2013"	"2013"	"40-44 years"	"40-44"	277	21905	12.65
	"Alaska"	"02"	"2013"	"2013"	"45-49 years"	"45-49"	22	Not Available	Not Available
	"Alaska"	"02"	"2014"	"2014"	"15-19 years"	"15-19"	645	23169	27.84
	"Alaska"	"02"	"2014"	"2014"	"20-24 years"	"20-24"	2980	26354	113.08
	"Alaska"	"02"	"2014"	"2014"	"25-29 years"	"25-29"	3536	28394	124.53
	"Alaska"	"02"	"2014"	"2014"	"30-34 years"	"30-34"	2844	26263	108.29
	"Alaska"	"02"	"2014"	"2014"	"35-39 years"	"35-39"	1115	21701	51.38
	"Alaska"	"02"	"2014"	"2014"	"40-44 years"	"40-44"	247	21421	11.53
	"Alaska"	"02"	"2014"	"2014"	"45-49 years"	"45-49"	17	Not Available	Not Available
	"Alaska"	"02"	"2015"	"2015"	"15-19 years"	"15-19"	662	22612	29.28
	"Alaska"	"02"	"2015"	"2015"	"20-24 years"	"20-24"	2723	25672	106.07
	"Alaska"	"02"	"2015"	"2015"	"25-29 years"	"25-29"	3525	28603	123.24
	"Alaska"	"02"	"2015"	"2015"	"30-34 years"	"30-34"	2893	26610	108.72
	"Alaska"	"02"	"2015"	"2015"	"35-39 years"	"35-39"	1230	22319	55.11
	"Alaska"	"02"	"2015"	"2015"	"40-44 years"	"40-44"	230	20698	11.11
	"Alaska"	"02"	"2015"	"2015"	"45-49 years"	"45-49"	16	Not Available	Not Available
	"Arizona"	"04"	"2007"	"2007"	"Under 15 years"	"15"	181	Not Available	Not Available
	"Arizona"	"04"	"2007"	"2007"	"15-19 years"	"15-19"	12868	215865	59.61
	"Arizona"	"04"	"2007"	"2007"	"20-24 years"	"20-24"	27875	204621	136.23
	"Arizona"	"04"	"2007"	"2007"	"25-29 years"	"25-29"	28833	220007	131.05
	"Arizona"	"04"	"2007"	"2007"	"30-34 years"	"30-34"	21037	195182	107.78
	"Arizona"	"04"	"2007"	"2007"	"35-39 years"	"35-39"	9968	205433	48.52
	"Arizona"	"04"	"2007"	"2007"	"40-44 years"	"40-44"	2079	204918	10.15
	"Arizona"	"04"	"2007"	"2007"	"45-49 years"	"45-49"	135	Not Available	Not Available
	"Arizona"	"04"	"2008"	"2008"	"Under 15 years"	"15"	164	Not Available	Not Available
	"Arizona"	"04"	"2008"	"2008"	"15-19 years"	"15-19"	12051	221157	54.49
	"Arizona"	"04"	"2008"	"2008"	"20-24 years"	"20-24"	26240	208701	125.73
	"Arizona"	"04"	"2008"	"2008"	"25-29 years"	"25-29"	28207	221050	127.60
	"Arizona"	"04"	"2008"	"2008"	"30-34 years"	"30-34"	20662	197927	104.39
	"Arizona"	"04"	"2008"	"2008"	"35-39 years"	"35-39"	10016	207586	48.25
	"Arizona"	"04"	"2008"	"2008"	"40-44 years"	"40-44"	1979	202829	9.76
	"Arizona"	"04"	"2008"	"2008"	"45-49 years"	"45-49"	116	Not Available	Not Available
	"Arizona"	"04"	"2009"	"2009"	"Under 15 years"	"15"	133	Not Available	Not Available
	"Arizona"	"04"	"2009"	"2009"	"15-19 years"	"15-19"	10874	223913	48.56
	"Arizona"	"04"	"2009"	"2009"	"20-24 years"	"20-24"	23972	210866	113.68
	"Arizona"	"04"	"2009"	"2009"	"25-29 years"	"25-29"	26507	218266	121.44
	"Arizona"	"04"	"2009"	"2009"	"30-34 years"	"30-34"	19761	201693	97.98
	"Arizona"	"04"	"2009"	"2009"	"35-39 years"	"35-39"	9414	207237	45.43
	"Arizona"	"04"	"2009"	"2009"	"40-44 years"	"40-44"	1982	200589	9.88
	"Arizona"	"04"	"2009"	"2009"	"45-49 years"	"45-49"	150	Not Available	Not Available
	"Arizona"	"04"	"2010"	"2010"	"Under 15 years"	"15"	108	Not Available	Not Available
	"Arizona"	"04"	"2010"	"2010"	"15-19 years"	"15-19"	9389	224302	41.86
	"Arizona"	"04"	"2010"	"2010"	"20-24 years"	"20-24"	22371	213022	105.02
	"Arizona"	"04"	"2010"	"2010"	"25-29 years"	"25-29"	25027	214390	116.74
	"Arizona"	"04"	"2010"	"2010"	"30-34 years"	"30-34"	19391	204472	94.83
	"Arizona"	"04"	"2010"	"2010"	"35-39 years"	"35-39"	9119	205469	44.38
	"Arizona"	"04"	"2010"	"2010"	"40-44 years"	"40-44"	1926	200902	9.59
	"Arizona"	"04"	"2010"	"2010"	"45-49 years"	"45-49"	140	Not Available	Not Available
	"Arizona"	"04"	"2011"	"2011"	"Under 15 years"	"15"	102	Not Available	Not Available
	"Arizona"	"04"	"2011"	"2011"	"15-19 years"	"15-19"	8402	218214	38.50
	"Arizona"	"04"	"2011"	"2011"	"20-24 years"	"20-24"	21898	222818	98.28
	"Arizona"	"04"	"2011"	"2011"	"25-29 years"	"25-29"	24377	214612	113.59
	"Arizona"	"04"	"2011"	"2011"	"30-34 years"	"30-34"	19431	209135	92.91
	"Arizona"	"04"	"2011"	"2011"	"35-39 years"	"35-39"	9150	200948	45.53
	"Arizona"	"04"	"2011"	"2011"	"40-44 years"	"40-44"	2062	205459	10.04
	"Arizona"	"04"	"2011"	"2011"	"45-49 years"	"45-49"	116	Not Available	Not Available
	"Arizona"	"04"	"2012"	"2012"	"Under 15 years"	"15"	70	Not Available	Not Available
	"Arizona"	"04"	"2012"	"2012"	"15-19 years"	"15-19"	8119	216974	37.42
	"Arizona"	"04"	"2012"	"2012"	"20-24 years"	"20-24"	21833	228468	95.56
	"Arizona"	"04"	"2012"	"2012"	"25-29 years"	"25-29"	24745	214147	115.55
	"Arizona"	"04"	"2012"	"2012"	"30-34 years"	"30-34"	20131	212548	94.71
	"Arizona"	"04"	"2012"	"2012"	"35-39 years"	"35-39"	9289	200386	46.36
	"Arizona"	"04"	"2012"	"2012"	"40-44 years"	"40-44"	2143	208534	10.28
	"Arizona"	"04"	"2012"	"2012"	"45-49 years"	"45-49"	107	Not Available	Not Available
	"Arizona"	"04"	"2013"	"2013"	"Under 15 years"	"15"	71	Not Available	Not Available
	"Arizona"	"04"	"2013"	"2013"	"15-19 years"	"15-19"	7232	218723	33.06
	"Arizona"	"04"	"2013"	"2013"	"20-24 years"	"20-24"	21699	233787	92.82
	"Arizona"	"04"	"2013"	"2013"	"25-29 years"	"25-29"	24872	211815	117.42
	"Arizona"	"04"	"2013"	"2013"	"30-34 years"	"30-34"	20081	215187	93.32
	"Arizona"	"04"	"2013"	"2013"	"35-39 years"	"35-39"	9433	202010	46.70
	"Arizona"	"04"	"2013"	"2013"	"40-44 years"	"40-44"	2066	209090	9.88
	"Arizona"	"04"	"2013"	"2013"	"45-49 years"	"45-49"	136	Not Available	Not Available
	"Arizona"	"04"	"2013"	"2013"	"50 years and over"	"50+"	10	Not Available	Not Available
	"Arizona"	"04"	"2014"	"2014"	"Under 15 years"	"15"	48	Not Available	Not Available
	"Arizona"	"04"	"2014"	"2014"	"15-19 years"	"15-19"	6622	221215	29.93
	"Arizona"	"04"	"2014"	"2014"	"20-24 years"	"20-24"	21459	235990	90.93
	"Arizona"	"04"	"2014"	"2014"	"25-29 years"	"25-29"	25164	217557	115.67
	"Arizona"	"04"	"2014"	"2014"	"30-34 years"	"30-34"	21271	217398	97.84
	"Arizona"	"04"	"2014"	"2014"	"35-39 years"	"35-39"	10089	205988	48.98
	"Arizona"	"04"	"2014"	"2014"	"40-44 years"	"40-44"	2098	209852	10.00
	"Arizona"	"04"	"2014"	"2014"	"45-49 years"	"45-49"	124	Not Available	Not Available
	"Arizona"	"04"	"2014"	"2014"	"50 years and over"	"50+"	12	Not Available	Not Available
	"Arizona"	"04"	"2015"	"2015"	"Under 15 years"	"15"	42	Not Available	Not Available
	"Arizona"	"04"	"2015"	"2015"	"15-19 years"	"15-19"	5910	224791	26.29
	"Arizona"	"04"	"2015"	"2015"	"20-24 years"	"20-24"	20664	234579	88.09
	"Arizona"	"04"	"2015"	"2015"	"25-29 years"	"25-29"	25347	224342	112.98
	"Arizona"	"04"	"2015"	"2015"	"30-34 years"	"30-34"	20971	217866	96.26
	"Arizona"	"04"	"2015"	"2015"	"35-39 years"	"35-39"	10101	209721	48.16
	"Arizona"	"04"	"2015"	"2015"	"40-44 years"	"40-44"	2176	208581	10.43
	"Arizona"	"04"	"2015"	"2015"	"45-49 years"	"45-49"	128	Not Available	Not Available
	"Arizona"	"04"	"2015"	"2015"	"50 years and over"	"50+"	12	Not Available	Not Available
	"Arkansas"	"05"	"2007"	"2007"	"Under 15 years"	"15"	103	Not Available	Not Available
	"Arkansas"	"05"	"2007"	"2007"	"15-19 years"	"15-19"	5926	98544	60.14
	"Arkansas"	"05"	"2007"	"2007"	"20-24 years"	"20-24"	13960	96034	145.37
	"Arkansas"	"05"	"2007"	"2007"	"25-29 years"	"25-29"	11715	98159	119.35
	"Arkansas"	"05"	"2007"	"2007"	"30-34 years"	"30-34"	6369	85904	74.14
	"Arkansas"	"05"	"2007"	"2007"	"35-39 years"	"35-39"	2753	92510	29.76
	"Arkansas"	"05"	"2007"	"2007"	"40-44 years"	"40-44"	515	97890	5.26
	"Arkansas"	"05"	"2007"	"2007"	"45-49 years"	"45-49"	35	Not Available	Not Available
	"Arkansas"	"05"	"2008"	"2008"	"Under 15 years"	"15"	76	Not Available	Not Available
	"Arkansas"	"05"	"2008"	"2008"	"15-19 years"	"15-19"	5940	99407	59.75
	"Arkansas"	"05"	"2008"	"2008"	"20-24 years"	"20-24"	13392	96757	138.41
	"Arkansas"	"05"	"2008"	"2008"	"25-29 years"	"25-29"	11497	97839	117.51
	"Arkansas"	"05"	"2008"	"2008"	"30-34 years"	"30-34"	6570	87138	75.40
	"Arkansas"	"05"	"2008"	"2008"	"35-39 years"	"35-39"	2658	93015	28.58
	"Arkansas"	"05"	"2008"	"2008"	"40-44 years"	"40-44"	505	94923	5.32
	"Arkansas"	"05"	"2008"	"2008"	"45-49 years"	"45-49"	31	Not Available	Not Available
	"Arkansas"	"05"	"2009"	"2009"	"Under 15 years"	"15"	78	Not Available	Not Available
	"Arkansas"	"05"	"2009"	"2009"	"15-19 years"	"15-19"	5753	99470	57.84
	"Arkansas"	"05"	"2009"	"2009"	"20-24 years"	"20-24"	12979	97614	132.96
	"Arkansas"	"05"	"2009"	"2009"	"25-29 years"	"25-29"	11410	97357	117.20
	"Arkansas"	"05"	"2009"	"2009"	"30-34 years"	"30-34"	6582	89380	73.64
	"Arkansas"	"05"	"2009"	"2009"	"35-39 years"	"35-39"	2529	92855	27.24
	"Arkansas"	"05"	"2009"	"2009"	"40-44 years"	"40-44"	453	92247	4.91
	"Arkansas"	"05"	"2009"	"2009"	"45-49 years"	"45-49"	23	Not Available	Not Available
	"Arkansas"	"05"	"2010"	"2010"	"Under 15 years"	"15"	76	Not Available	Not Available
	"Arkansas"	"05"	"2010"	"2010"	"15-19 years"	"15-19"	5229	99627	52.49
	"Arkansas"	"05"	"2010"	"2010"	"20-24 years"	"20-24"	12259	98849	124.02
	"Arkansas"	"05"	"2010"	"2010"	"25-29 years"	"25-29"	11090	95998	115.52
	"Arkansas"	"05"	"2010"	"2010"	"30-34 years"	"30-34"	6778	91462	74.11
	"Arkansas"	"05"	"2010"	"2010"	"35-39 years"	"35-39"	2602	92130	28.24
	"Arkansas"	"05"	"2010"	"2010"	"40-44 years"	"40-44"	485	91380	5.31
	"Arkansas"	"05"	"2010"	"2010"	"45-49 years"	"45-49"	21	Not Available	Not Available
	"Arkansas"	"05"	"2011"	"2011"	"Under 15 years"	"15"	57	Not Available	Not Available
	"Arkansas"	"05"	"2011"	"2011"	"15-19 years"	"15-19"	4845	95607	50.68
	"Arkansas"	"05"	"2011"	"2011"	"20-24 years"	"20-24"	12214	102312	119.38
	"Arkansas"	"05"	"2011"	"2011"	"25-29 years"	"25-29"	11338	95982	118.13
	"Arkansas"	"05"	"2011"	"2011"	"30-34 years"	"30-34"	7105	94226	75.40
	"Arkansas"	"05"	"2011"	"2011"	"35-39 years"	"35-39"	2595	89982	28.84
	"Arkansas"	"05"	"2011"	"2011"	"40-44 years"	"40-44"	535	92680	5.77
	"Arkansas"	"05"	"2011"	"2011"	"45-49 years"	"45-49"	24	Not Available	Not Available
	"Arkansas"	"05"	"2012"	"2012"	"Under 15 years"	"15"	58	Not Available	Not Available
	"Arkansas"	"05"	"2012"	"2012"	"15-19 years"	"15-19"	4349	95250	45.66
	"Arkansas"	"05"	"2012"	"2012"	"20-24 years"	"20-24"	12136	103292	117.49
	"Arkansas"	"05"	"2012"	"2012"	"25-29 years"	"25-29"	11104	96026	115.64
	"Arkansas"	"05"	"2012"	"2012"	"30-34 years"	"30-34"	7386	95319	77.49
	"Arkansas"	"05"	"2012"	"2012"	"35-39 years"	"35-39"	2776	89318	31.08
	"Arkansas"	"05"	"2012"	"2012"	"40-44 years"	"40-44"	510	93470	5.46
	"Arkansas"	"05"	"2012"	"2012"	"45-49 years"	"45-49"	27	Not Available	Not Available
	"Arkansas"	"05"	"2013"	"2013"	"Under 15 years"	"15"	37	Not Available	Not Available
	"Arkansas"	"05"	"2013"	"2013"	"15-19 years"	"15-19"	4155	95464	43.52
	"Arkansas"	"05"	"2013"	"2013"	"20-24 years"	"20-24"	11817	104139	113.47
	"Arkansas"	"05"	"2013"	"2013"	"25-29 years"	"25-29"	11089	95095	116.61
	"Arkansas"	"05"	"2013"	"2013"	"30-34 years"	"30-34"	7324	95811	76.44
	"Arkansas"	"05"	"2013"	"2013"	"35-39 years"	"35-39"	2818	89775	31.39
	"Arkansas"	"05"	"2013"	"2013"	"40-44 years"	"40-44"	564	93919	6.01
	"Arkansas"	"05"	"2013"	"2013"	"45-49 years"	"45-49"	25	Not Available	Not Available
	"Arkansas"	"05"	"2014"	"2014"	"Under 15 years"	"15"	43	Not Available	Not Available
	"Arkansas"	"05"	"2014"	"2014"	"15-19 years"	"15-19"	3782	95650	39.54
	"Arkansas"	"05"	"2014"	"2014"	"20-24 years"	"20-24"	11862	102982	115.19
	"Arkansas"	"05"	"2014"	"2014"	"25-29 years"	"25-29"	11378	96353	118.09
	"Arkansas"	"05"	"2014"	"2014"	"30-34 years"	"30-34"	7882	96315	81.84
	"Arkansas"	"05"	"2014"	"2014"	"35-39 years"	"35-39"	2951	90385	32.65
	"Arkansas"	"05"	"2014"	"2014"	"40-44 years"	"40-44"	574	93087	6.17
	"Arkansas"	"05"	"2014"	"2014"	"45-49 years"	"45-49"	35	Not Available	Not Available
	"Arkansas"	"05"	"2015"	"2015"	"Under 15 years"	"15"	42	Not Available	Not Available
	"Arkansas"	"05"	"2015"	"2015"	"15-19 years"	"15-19"	3677	96742	38.01
	"Arkansas"	"05"	"2015"	"2015"	"20-24 years"	"20-24"	11548	101241	114.06
	"Arkansas"	"05"	"2015"	"2015"	"25-29 years"	"25-29"	11806	98266	120.14
	"Arkansas"	"05"	"2015"	"2015"	"30-34 years"	"30-34"	8040	96105	83.66
	"Arkansas"	"05"	"2015"	"2015"	"35-39 years"	"35-39"	3175	92031	34.50
	"Arkansas"	"05"	"2015"	"2015"	"40-44 years"	"40-44"	559	92075	6.07
	"Arkansas"	"05"	"2015"	"2015"	"45-49 years"	"45-49"	37	Not Available	Not Available
	"California"	"06"	"2007"	"2007"	"Under 15 years"	"15"	663	Not Available	Not Available
	"California"	"06"	"2007"	"2007"	"15-19 years"	"15-19"	53417	1349604	39.58
	"California"	"06"	"2007"	"2007"	"20-24 years"	"20-24"	128059	1265950	101.16
	"California"	"06"	"2007"	"2007"	"25-29 years"	"25-29"	150629	1315736	114.48
	"California"	"06"	"2007"	"2007"	"30-34 years"	"30-34"	135432	1224203	110.63
	"California"	"06"	"2007"	"2007"	"35-39 years"	"35-39"	78489	1324022	59.28
	"California"	"06"	"2007"	"2007"	"40-44 years"	"40-44"	18281	1324229	13.81
	"California"	"06"	"2007"	"2007"	"45-49 years"	"45-49"	1324	Not Available	Not Available
	"California"	"06"	"2007"	"2007"	"50 years and over"	"50+"	120	Not Available	Not Available
	"California"	"06"	"2008"	"2008"	"Under 15 years"	"15"	625	Not Available	Not Available
	"California"	"06"	"2008"	"2008"	"15-19 years"	"15-19"	51730	1365142	37.89
	"California"	"06"	"2008"	"2008"	"20-24 years"	"20-24"	122339	1281747	95.45
	"California"	"06"	"2008"	"2008"	"25-29 years"	"25-29"	147157	1332141	110.47
	"California"	"06"	"2008"	"2008"	"30-34 years"	"30-34"	132672	1228822	107.97
	"California"	"06"	"2008"	"2008"	"35-39 years"	"35-39"	76983	1315297	58.53
	"California"	"06"	"2008"	"2008"	"40-44 years"	"40-44"	18655	1305301	14.29
	"California"	"06"	"2008"	"2008"	"45-49 years"	"45-49"	1451	Not Available	Not Available
